iter	Passed	Remaining
480	708	764
481	710	763
482	711	761
483	712	759
484	714	758
485	715	757
486	717	755
487	718	753
488	719	751
489	720	750
490	721	748
491	722	746
492	723	744
493	725	742
494	726	741
495	727	739
496	728	737
497	730	736
498	731	734
499	733	733
500	734	731
501	735	729
502	736	728
503	738	726
504	739	724
505	740	723
506	741	721
507	743	719
508	745	719
509	746	717
510	748	715
511	749	714
512	750	712
513	751	710
514	752	708
515	753	706
516	755	705
517	757	704
518	758	702
519	760	701
520	762	701
521	764	700
522	766	698
523	769	698
524	770	697
525	772	696
526	774	695
527	776	694
528	778	693
529	779	691
530	781	689
531	783	688
532	784	687
533	785	685
534	788	684
535	789	683
536	792	682
537	793	681
538	795	680
539	797	679
540	799	677
541	801	676
542	802	675
543	803	673
544	805	672
545	806	671
546	808	669
547	810	668
548	811	666
549	813	665
550	814	664
551	816	662
552	817	661
553	819	660
554	821	658
555	823	657
556	824	656
557	826	654
558	827	652
559	829	651
560	830	649
561	831	648
562	833	646
563	834	645
564	836	643
565	838	642
566	840	641
567	841	640
568	842	638
569	844	636
570	845	635
571	847	634
572	849	632
573	850	631
574	851	629
575	853	628
576	855	626
577	856	625
578	858	623
579	860	622
580	862	621
581	864	621
582	867	620
583	869	619
584	871	618
585	872	616
586	874	615
587	876	614
588	878	612
589	879	611
590	881	610
591	885	609
592	886	608
593	888	607
594	890	605
595	891	604
596	893	603
597	895	601
598	896	600
599	898	598
600	900	597
601	901	596
602	902	594
603	904	592
604	905	590
605	906	589
606	907	587
607	908	585
608	909	584
609	911	582
610	912	580
611	914	579
612	915	577
613	916	576
614	918	574
615	919	573
616	920	571
617	921	569
618	922	568
619	924	566
620	925	564
621	926	563
622	928	561
623	929	560
624	931	558
625	932	557
626	933	555
627	934	553
628	935	552
629	937	550
630	938	548
631	939	547
632	941	545
633	942	543
634	943	542
635	945	541
636	947	539
637	948	538
638	950	536
639	951	535
640	953	533
641	954	532
642	956	531
643	958	529
644	959	528
645	962	527
646	963	525
647	964	523
648	965	522
649	966	520
650	968	519
651	969	517
652	970	515
653	971	514
654	973	512
655	974	510
656	975	509
657	977	507
658	978	506
659	979	504
660	981	503
661	982	501
662	983	500
663	985	498
664	986	497
665	988	495
666	989	494
667	990	492
668	992	491
669	994	489
670	995	488
671	997	486
672	999	485
673	1000	483
674	1001	482
675	1002	480
676	1004	479
677	1005	477
678	1008	476
679	1009	475
680	1011	473
681	1013	472
682	1014	470
683	1016	469
684	1017	467
685	1018	466
686	1019	464
687	1021	463
688	1023	461
689	1024	460
690	1026	459
691	1028	457
692	1029	456
693	1031	454
694	1033	453
695	1035	452
696	1037	450
697	1039	449
698	1040	448
699	1042	446
700	1044	445
701	1046	444
702	1048	443
703	1050	441
704	1052	440
705	1054	438
706	1055	437
707	1056	435
708	1058	434
709	1059	432
710	1060	431
711	1062	429
712	1063	428
713	1065	426
714	1066	425
715	1069	424
716	1070	422
717	1072	421
718	1073	419
719	1075	418
720	1076	416
721	1078	415
722	1079	413
723	1081	412
724	1082	410
725	1083	409
726	1085	407
727	1086	405
728	1087	404
729	1089	402
730	1090	401
731	1091	399
732	1093	398
733	1094	396
734	1096	395
735	1097	393
736	1098	392
737	1100	390
738	1101	389
739	1103	387
740	1104	386
741	1106	384
742	1108	383
743	1110	381
744	1112	380
745	1113	379
746	1115	377
747	1116	376
748	1119	375
749	1121	373
750	1123	372
751	1124	370
752	1126	369
753	1128	368
754	1129	366
755	1131	365
756	1133	363
757	1134	362
758	1135	360
759	1136	359
760	1138	357
761	1139	355
762	1140	354
763	1141	352
764	1142	350
765	1143	349
766	1144	347
767	1145	346
768	1146	344
769	1148	342
770	1149	341
771	1150	339
772	1151	338
773	1152	336
774	1153	335
775	1155	333
776	1156	331
777	1157	330
778	1158	328
779	1159	327
780	1160	325
781	1161	323
782	1163	322
783	1164	320
784	1165	319
785	1167	317
786	1168	316
787	1169	314
788	1170	312
789	1171	311
790	1172	309
791	1173	308
792	1174	306
793	1175	305
794	1176	303
795	1177	301
796	1179	300
797	1180	298
798	1181	297
799	1183	295
800	1184	294
801	1185	292
802	1186	291
803	1187	289
804	1189	288
805	1190	286
806	1191	284
807	1192	283
808	1194	282
809	1195	280
810	1196	278
811	1198	277
812	1199	275
813	1200	274
814	1201	272
815	1202	271
816	1203	269
817	1204	268
818	1205	266
819	1206	264
820	1208	263
821	1209	261
822	1210	260
823	1211	258
824	1212	257
825	1213	255
826	1214	254
827	1215	252
828	1216	251
829	1218	249
830	1219	247
831	1220	246
832	1221	244
833	1222	243
834	1223	241
835	1226	240
836	1228	239
837	1229	237
838	1231	236
839	1232	234
840	1233	233
841	1235	231
842	1236	230
843	1238	228
844	1239	227
845	1241	225
846	1242	224
847	1244	222
848	1245	221
849	1246	220
850	1247	218
851	1249	216
852	1250	215
853	1251	214
854	1253	212
855	1254	211
856	1256	209
857	1257	208
858	1259	206
859	1260	205
860	1261	203
861	1263	202
862	1264	200
863	1266	199
864	1267	197
865	1268	196
866	1270	194
867	1271	193
868	1273	191
869	1274	190
870	1275	188
871	1276	187
872	1278	185
873	1279	184
874	1280	182
875	1282	181
876	1283	180
877	1285	178
878	1286	177
879	1288	175
880	1290	174
881	1291	172
882	1293	171
883	1294	169
884	1296	168
885	1298	167
886	1299	165
887	1301	164
888	1302	162
889	1304	161
890	1305	159
891	1306	158
892	1308	156
893	1309	155
894	1310	153
895	1312	152
896	1313	150
897	1314	149
898	1316	147
899	1317	146
900	1318	144
901	1320	143
902	1321	141
903	1322	140
904	1324	139
905	1325	137
906	1327	136
907	1328	134
908	1329	133
909	1331	131
910	1332	130
911	1334	128
912	1335	127
913	1336	125
914	1338	124
915	1339	122
916	1341	121
917	1342	119
918	1344	118
919	1345	116
920	1346	115
921	1347	114
922	1349	112
923	1351	111
924	1352	109
925	1353	108
926	1355	106
927	1356	105
928	1357	103
929	1359	102
930	1360	100
931	1362	99
932	1363	97
933	1365	96
934	1367	95
935	1368	93
936	1370	92
937	1371	90
938	1373	89
939	1374	87
940	1375	86
941	1377	84
942	1378	83
943	1380	81
944	1382	80
945	1384	79
946	1385	77
947	1386	76
948	1387	74
949	1388	73
950	1389	71
951	1390	70
952	1391	68
953	1392	67
954	1393	65
955	1394	64
956	1396	62
957	1397	61
958	1398	59
959	1400	58
960	1401	56
961	1402	55
962	1403	53
963	1404	52
964	1405	50
965	1406	49
966	1407	48
967	1409	46
968	1410	45
969	1411	43
970	1413	42
971	1414	40
972	1415	39
973	1416	37
974	1418	36
975	1419	34
976	1420	33
977	1421	31
978	1422	30
979	1424	29
980	1425	27
981	1426	26
982	1427	24
983	1428	23
984	1429	21
985	1430	20
986	1432	18
987	1433	17
988	1434	15
989	1435	14
990	1436	13
991	1437	11
992	1438	10
993	1440	8
994	1441	7
995	1442	5
996	1443	4
997	1445	2
998	1446	1
999	1447	0
